# label=honeycomb-i9-12900F-php8.4-cache-resident-n300k
# n=300000
# rounds=7
# loadavg_before=1.09
# loadavg_after-round-0=1.06
# loadavg_after-round-1=1.05
# loadavg_after-round-2=1.03
# loadavg_after-round-3=1.02
# loadavg_after-round-4=1.01
# loadavg_after-round-5=1.01
# loadavg_after-round-6=1.01
arm,seed,corpus,n,trial,kernel,ns_per_op,hits
pre,0,jint.keys,300000,1,serial,8.322,300000
pre,0,jint.keys,300000,2,serial,8.365,300000
pre,0,jint.keys,300000,3,serial,8.152,300000
pre,0,jint.keys,300000,4,serial,8.377,300000
pre,0,jint.keys,300000,5,serial,8.630,300000
pre,0,jint.keys,300000,6,serial,8.174,300000
pre,0,jint.delpfx,300000,0,serial,11.620,300000
pre,0,jint.delpfx,300000,1,serial,11.642,300000
pre,0,jint.delpfx,300000,2,serial,11.626,300000
pre,0,jint.delpfx,300000,3,serial,11.632,300000
pre,0,jint.delpfx,300000,4,serial,11.736,300000
pre,0,jint.delpfx,300000,5,serial,12.808,300000
pre,0,jint.delpfx,300000,6,serial,11.567,300000
pre,0,jint.del,300000,0,serial,91.276,300000
pre,0,jint.del,300000,1,serial,91.654,300000
pre,0,jint.del,300000,2,serial,91.556,300000
pre,0,jint.del,300000,3,serial,91.125,300000
pre,0,jint.del,300000,4,serial,91.522,300000
pre,0,jint.del,300000,5,serial,96.884,300000
pre,0,jint.del,300000,6,serial,91.495,300000
pre,0,ctl.set,300000,0,serial,99.400,300000
pre,0,ctl.set,300000,1,serial,99.214,300000
pre,0,ctl.set,300000,2,serial,99.274,300000
pre,0,ctl.set,300000,3,serial,99.410,300000
pre,0,ctl.set,300000,4,serial,99.500,300000
pre,0,ctl.set,300000,5,serial,98.624,300000
pre,0,ctl.set,300000,6,serial,99.124,300000
pre,0,ctl.get,300000,0,serial,103.830,300000
pre,0,ctl.get,300000,1,serial,103.886,300000
pre,0,ctl.get,300000,2,serial,103.718,300000
pre,0,ctl.get,300000,3,serial,104.276,300000
pre,0,ctl.get,300000,4,serial,103.822,300000
pre,0,ctl.get,300000,5,serial,103.826,300000
pre,0,ctl.get,300000,6,serial,103.290,300000
pre,0,ctl.getr,300000,0,serial,343.619,300000
pre,0,ctl.getr,300000,1,serial,346.355,300000
pre,0,ctl.getr,300000,2,serial,344.509,300000
pre,0,ctl.getr,300000,3,serial,343.812,300000
pre,0,ctl.getr,300000,4,serial,345.875,300000
pre,0,ctl.getr,300000,5,serial,345.812,300000
pre,0,ctl.getr,300000,6,serial,345.986,300000
pre,0,ctl.hasr,300000,0,serial,58.505,300000
pre,0,ctl.hasr,300000,1,serial,66.098,300000
pre,0,ctl.hasr,300000,2,serial,59.239,300000
pre,0,ctl.hasr,300000,3,serial,58.392,300000
pre,0,ctl.hasr,300000,4,serial,58.795,300000
pre,0,ctl.hasr,300000,5,serial,58.637,300000
pre,0,ctl.hasr,300000,6,serial,59.304,300000
pre,0,ctl.del,300000,0,serial,17.118,300000
pre,0,ctl.del,300000,1,serial,17.792,300000
pre,0,ctl.del,300000,2,serial,17.222,300000
pre,0,ctl.del,300000,3,serial,17.559,300000
pre,0,ctl.del,300000,4,serial,17.596,300000
pre,0,ctl.del,300000,5,serial,17.059,300000
pre,0,ctl.del,300000,6,serial,17.236,300000
system,0,ser.set,300000,0,serial,710.155,300000
system,0,ser.set,300000,1,serial,709.431,300000
system,0,ser.set,300000,2,serial,708.981,300000
system,0,ser.set,300000,3,serial,709.604,300000
system,0,ser.set,300000,4,serial,715.650,300000
system,0,ser.set,300000,5,serial,712.815,300000
system,0,ser.set,300000,6,serial,711.297,300000
system,0,ser.get,300000,0,serial,301.026,300000
system,0,ser.get,300000,1,serial,301.600,300000
system,0,ser.get,300000,2,serial,301.216,300000
system,0,ser.get,300000,3,serial,300.555,300000
system,0,ser.get,300000,4,serial,299.250,300000
system,0,ser.get,300000,5,serial,301.224,300000
system,0,ser.get,300000,6,serial,301.363,300000
system,0,ser.getr,300000,0,serial,594.518,300000
system,0,ser.getr,300000,1,serial,597.443,300000
system,0,ser.getr,300000,2,serial,595.968,300000
system,0,ser.getr,300000,3,serial,593.313,300000
system,0,ser.getr,300000,4,serial,592.977,300000
system,0,ser.getr,300000,5,serial,592.680,300000
system,0,ser.getr,300000,6,serial,593.607,300000
system,0,ser.hasr,300000,0,serial,280.660,300000
system,0,ser.hasr,300000,1,serial,282.075,300000
system,0,ser.hasr,300000,2,serial,281.275,300000
system,0,ser.hasr,300000,3,serial,282.170,300000
system,0,ser.hasr,300000,4,serial,281.198,300000
system,0,ser.hasr,300000,5,serial,280.819,300000
system,0,ser.hasr,300000,6,serial,281.515,300000
system,0,ser.keys,300000,0,serial,13.393,300000
system,0,ser.keys,300000,1,serial,13.568,300000
system,0,ser.keys,300000,2,serial,13.509,300000
system,0,ser.keys,300000,3,serial,13.416,300000
system,0,ser.keys,300000,4,serial,13.534,300000
system,0,ser.keys,300000,5,serial,13.421,300000
system,0,ser.keys,300000,6,serial,13.472,300000
system,0,ser.delpfx,300000,0,serial,16.560,300000
system,0,ser.delpfx,300000,1,serial,16.574,300000
system,0,ser.delpfx,300000,2,serial,16.586,300000
system,0,ser.delpfx,300000,3,serial,16.716,300000
system,0,ser.delpfx,300000,4,serial,16.588,300000
system,0,ser.delpfx,300000,5,serial,16.540,300000
system,0,ser.delpfx,300000,6,serial,16.507,300000
system,0,ser.del,300000,0,serial,147.808,300000
system,0,ser.del,300000,1,serial,147.696,300000
system,0,ser.del,300000,2,serial,148.141,300000
system,0,ser.del,300000,3,serial,148.040,300000
system,0,ser.del,300000,4,serial,147.682,300000
system,0,ser.del,300000,5,serial,147.956,300000
system,0,ser.del,300000,6,serial,147.571,300000
system,0,raw.set,300000,0,serial,474.216,300000
system,0,raw.set,300000,1,serial,475.318,300000
system,0,raw.set,300000,2,serial,477.863,300000
system,0,raw.set,300000,3,serial,472.372,300000
system,0,raw.set,300000,4,serial,473.438,300000
system,0,raw.set,300000,5,serial,473.791,300000
system,0,raw.set,300000,6,serial,474.058,300000
system,0,raw.get,300000,0,serial,556.567,300000
system,0,raw.get,300000,1,serial,556.978,300000
system,0,raw.get,300000,2,serial,568.358,300000
system,0,raw.get,300000,3,serial,556.389,300000
system,0,raw.get,300000,4,serial,556.305,300000
system,0,raw.get,300000,5,serial,558.162,300000
system,0,raw.get,300000,6,serial,558.054,300000
system,0,raw.getr,300000,0,serial,715.099,300000
system,0,raw.getr,300000,1,serial,712.388,300000
system,0,raw.getr,300000,2,serial,715.792,300000
system,0,raw.getr,300000,3,serial,713.030,300000
system,0,raw.getr,300000,4,serial,718.848,300000
system,0,raw.getr,300000,5,serial,713.724,300000
system,0,raw.getr,300000,6,serial,714.472,300000
system,0,raw.hasr,300000,0,serial,282.364,300000
system,0,raw.hasr,300000,1,serial,279.453,300000
system,0,raw.hasr,300000,2,serial,284.483,300000
system,0,raw.hasr,300000,3,serial,280.800,300000
system,0,raw.hasr,300000,4,serial,282.765,300000
system,0,raw.hasr,300000,5,serial,279.256,300000
system,0,raw.hasr,300000,6,serial,281.581,300000
system,0,raw.keys,300000,0,serial,13.443,300000
system,0,raw.keys,300000,1,serial,13.530,300000
system,0,raw.keys,300000,2,serial,13.623,300000
system,0,raw.keys,300000,3,serial,13.444,300000
system,0,raw.keys,300000,4,serial,13.554,300000
system,0,raw.keys,300000,5,serial,13.421,300000
system,0,raw.keys,300000,6,serial,13.427,300000
system,0,raw.delpfx,300000,0,serial,17.441,300000
system,0,raw.delpfx,300000,1,serial,17.454,300000
system,0,raw.delpfx,300000,2,serial,17.444,300000
system,0,raw.delpfx,300000,3,serial,17.499,300000
system,0,raw.delpfx,300000,4,serial,17.421,300000
system,0,raw.delpfx,300000,5,serial,17.436,300000
system,0,raw.delpfx,300000,6,serial,17.433,300000
system,0,raw.del,300000,0,serial,162.691,300000
system,0,raw.del,300000,1,serial,161.948,300000
system,0,raw.del,300000,2,serial,162.465,300000
system,0,raw.del,300000,3,serial,164.867,300000
system,0,raw.del,300000,4,serial,162.904,300000
system,0,raw.del,300000,5,serial,161.950,300000
system,0,raw.del,300000,6,serial,161.831,300000
system,0,rawint.set,300000,0,serial,160.501,300000
system,0,rawint.set,300000,1,serial,159.815,300000
system,0,rawint.set,300000,2,serial,159.631,300000
system,0,rawint.set,300000,3,serial,159.639,300000
system,0,rawint.set,300000,4,serial,159.491,300000
